PDFファイル,ページ番号,画像ファイル,図番号,x0_diff,y0_diff,x1_diff,y1_diff
whitepaper2023_all.pdf,9,whitepaper2023_all_page9_img0.png,【第111-1-1】,5.87907,17.40674,236.10344,37.36753
whitepaper2023_all.pdf,9,whitepaper2023_all_page9_img1.png,【第111-1-1】,5.87907,50.39954,236.10344,70.34263
whitepaper2023_all.pdf,9,whitepaper2023_all_page9_img2.png,【第111-2-1】,8.26045,-2.63016,361.23766,236.73389
whitepaper2023_all.pdf,9,whitepaper2023_all_page9_img3.png,【第111-2-2】,4.52579,15.65502,238.98560,125.94102
whitepaper2023_all.pdf,9,whitepaper2023_all_page9_img4.png,【第111-2-2】,4.52579,138.97298,238.98560,187.57658
whitepaper2023_all.pdf,10,whitepaper2023_all_page10_img0.png,【第111-2-3】,0.77498,13.04947,233.62739,203.56425
whitepaper2023_all.pdf,11,whitepaper2023_all_page11_img0.png,【第111-3-1】,9.51254,17.89908,232.20398,120.04428
whitepaper2023_all.pdf,11,whitepaper2023_all_page11_img1.png,【第111-3-1】,9.51254,133.07629,232.20398,177.58368
whitepaper2023_all.pdf,11,whitepaper2023_all_page11_img2.png,【第111-3-2】,8.27132,18.04626,500.36876,156.79895
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img0.png,【第111-4-3】,6.20265,17.95074,112.04981,72.13986
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img1.png,【第111-4-3】,136.01028,17.95074,235.56489,72.76157
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img2.png,【第111-4-4】,6.88089,24.67630,236.52008,79.44352
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img3.png,【第111-4-5】,6.88089,-64.52650,236.52008,-49.17575
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img4.png,【第111-4-5】,5.35153,29.09280,236.51556,84.40683
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img5.png,【第111-4-1】,11.72812,18.07526,238.37012,112.57023
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img6.png,【第111-4-2】,11.72812,-84.39774,238.37012,-54.71017
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img7.png,【第111-4-2】,2.07236,26.73538,239.17475,32.56714
whitepaper2023_all.pdf,12,whitepaper2023_all_page12_img8.png,【第111-4-2】,2.07236,56.59720,239.17475,62.41083
whitepaper2023_all.pdf,13,whitepaper2023_all_page13_img0.png,【第111-6-1】,22.99460,27.33678,219.08862,118.46659
whitepaper2023_all.pdf,13,whitepaper2023_all_page13_img1.png,【第111-6-1】,4.35730,149.32690,128.84219,220.51450
whitepaper2023_all.pdf,13,whitepaper2023_all_page13_img2.png,【第111-6-1】,138.67795,183.37228,237.30792,220.68510
whitepaper2023_all.pdf,14,whitepaper2023_all_page14_img0.png,【第111-7-2】,4.02411,365.57391,238.02411,379.54392
whitepaper2023_all.pdf,14,whitepaper2023_all_page14_img1.png,【第111-7-2】,5.59015,28.63906,108.54413,89.82621
whitepaper2023_all.pdf,14,whitepaper2023_all_page14_img2.png,【第111-7-2】,133.35959,28.63911,236.61365,89.41367
whitepaper2023_all.pdf,14,whitepaper2023_all_page14_img3.png,【第111-7-1】,0.52361,15.46442,236.74601,78.23862
whitepaper2023_all.pdf,14,whitepaper2023_all_page14_img4.png,【第111-7-1】,0.52361,91.27065,236.74601,116.10233
whitepaper2023_all.pdf,18,whitepaper2023_all_page18_img0.png,【第112-4-1】,6.07693,15.67140,237.42561,167.12846
whitepaper2023_all.pdf,22,whitepaper2023_all_page22_img0.png,【第114-2-1】,0.76339,6.21101,476.40580,170.41422
whitepaper2023_all.pdf,22,whitepaper2023_all_page22_img1.png,【第114-2-1】,0.76339,183.44624,476.40580,258.95023
whitepaper2023_all.pdf,25,whitepaper2023_all_page25_img0.png,【第121-1-1】,-9.69340,-354.67413,224.30660,-301.70612
whitepaper2023_all.pdf,25,whitepaper2023_all_page25_img1.png,【第121-1-1】,-6.69340,-504.67413,493.30660,-388.70612
whitepaper2023_all.pdf,27,whitepaper2023_all_page27_img0.png,【第121-1-4】,0.00076,17.73553,473.95412,93.57133
whitepaper2023_all.pdf,27,whitepaper2023_all_page27_img1.png,【第121-1-4】,0.00076,106.60333,473.95412,182.43913
whitepaper2023_all.pdf,27,whitepaper2023_all_page27_img2.png,【第121-1-4】,0.00076,195.47110,473.95412,271.30689
whitepaper2023_all.pdf,28,whitepaper2023_all_page28_img0.png,【第121-1-5】,3.59635,25.90267,236.55967,116.96415
whitepaper2023_all.pdf,32,whitepaper2023_all_page32_img0.png,【第121-2-9】,5.48792,13.27872,450.14986,179.88068
whitepaper2023_all.pdf,32,whitepaper2023_all_page32_img1.png,【第121-2-9】,5.48792,192.91269,450.14986,269.61969
whitepaper2023_all.pdf,33,whitepaper2023_all_page33_img0.png,【第121-2-10】,7.11287,13.38437,471.59249,311.59343
whitepaper2023_all.pdf,35,whitepaper2023_all_page35_img0.png,【第121-3-7】,3.40210,15.16561,241.03110,93.34788
whitepaper2023_all.pdf,35,whitepaper2023_all_page35_img1.png,【第121-3-7】,3.40210,106.37997,241.03110,138.93559
whitepaper2023_all.pdf,36,whitepaper2023_all_page36_img0.png,【第121-3-8】,6.04744,13.96259,237.10267,97.54710
whitepaper2023_all.pdf,36,whitepaper2023_all_page36_img1.png,【第121-3-8】,6.04744,110.57915,237.10267,145.83427
whitepaper2023_all.pdf,36,whitepaper2023_all_page36_img2.png,【第121-3-9】,0.92352,13.16180,476.36094,155.37982
whitepaper2023_all.pdf,36,whitepaper2023_all_page36_img3.png,【第121-3-9】,0.92352,168.41174,476.36094,232.96729
whitepaper2023_all.pdf,38,whitepaper2023_all_page38_img0.png,【第121-4-2】,1.16833,25.28185,237.91233,82.80985
whitepaper2023_all.pdf,38,whitepaper2023_all_page38_img1.png,【第121-4-2】,1.16833,106.83978,237.91233,123.56809
whitepaper2023_all.pdf,43,whitepaper2023_all_page43_img0.png,【第122-1-8】,4.85159,16.00389,236.84662,38.42289
whitepaper2023_all.pdf,43,whitepaper2023_all_page43_img1.png,【第122-1-9】,4.91589,16.48499,237.06384,150.02696
whitepaper2023_all.pdf,44,whitepaper2023_all_page44_img0.png,【第122-1-11】,-8.70663,9.26584,251.27451,144.61374
whitepaper2023_all.pdf,45,whitepaper2023_all_page45_img0.png,【第122-2-2】,4.52640,26.64835,237.54340,72.70121
whitepaper2023_all.pdf,45,whitepaper2023_all_page45_img1.png,【第122-2-2】,4.52640,96.73123,237.54340,107.72373
whitepaper2023_all.pdf,46,whitepaper2023_all_page46_img0.png,【第122-2-3】,4.68149,16.43282,237.89117,100.77006
whitepaper2023_all.pdf,46,whitepaper2023_all_page46_img1.png,【第122-2-4】,4.68149,-82.19791,237.89117,-46.58798
whitepaper2023_all.pdf,47,whitepaper2023_all_page47_img0.png,【第122-2-5】,5.37994,27.26796,236.20265,140.84507
whitepaper2023_all.pdf,47,whitepaper2023_all_page47_img1.png,【第122-2-6】,3.56793,15.84173,239.26868,108.95927
whitepaper2023_all.pdf,47,whitepaper2023_all_page47_img2.png,【第122-2-6】,3.56793,121.99130,239.26868,162.01163
whitepaper2023_all.pdf,48,whitepaper2023_all_page48_img0.png,【第122-2-7】,1.43051,25.80315,239.17529,105.71836
whitepaper2023_all.pdf,48,whitepaper2023_all_page48_img1.png,【第122-2-8】,5.47146,17.68033,480.42023,195.34753
whitepaper2023_all.pdf,49,whitepaper2023_all_page49_img0.png,【第122-2-9】,8.11748,16.31931,469.86147,79.89530
whitepaper2023_all.pdf,49,whitepaper2023_all_page49_img1.png,【第122-2-9】,8.11748,92.92728,469.86147,156.46488
whitepaper2023_all.pdf,50,whitepaper2023_all_page50_img0.png,【第131-1-1】,-261.70560,1.57391,-27.70560,26.54192
whitepaper2023_all.pdf,50,whitepaper2023_all_page50_img1.png,【第131-1-1】,-258.70560,-148.42609,241.29440,-32.45808
whitepaper2023_all.pdf,50,whitepaper2023_all_page50_img2.png,【第131-1-1】,5.46323,16.68401,243.25418,54.85057
whitepaper2023_all.pdf,50,whitepaper2023_all_page50_img3.png,【第131-1-1】,5.46323,67.88255,243.25418,106.02818
whitepaper2023_all.pdf,51,whitepaper2023_all_page51_img0.png,【第131-1-4】,-0.17536,17.08768,242.23503,93.43286
whitepaper2023_all.pdf,51,whitepaper2023_all_page51_img1.png,【第131-1-4】,-0.17536,106.46487,242.23503,138.10168
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img0.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img1.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img2.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img3.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img4.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img5.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img6.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img7.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img8.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img9.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img10.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img11.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img12.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img13.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img14.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img15.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img16.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img17.png,【第131-2-2】,-18.44910,-39.03311,-28.28427,-51.90030
whitepaper2023_all.pdf,52,whitepaper2023_all_page52_img18.png,【第131-2-1】,-1.04003,23.49725,242.17820,142.32312
whitepaper2023_all.pdf,57,whitepaper2023_all_page57_img0.png,【第132-1-1】,1.39878,15.04060,238.91981,90.75504
whitepaper2023_all.pdf,57,whitepaper2023_all_page57_img1.png,【第132-1-2】,1.39878,-78.21298,238.91981,-47.40439
whitepaper2023_all.pdf,59,whitepaper2023_all_page59_img0.png,【第132-1-7】,9.31010,17.52325,234.28056,128.02643
whitepaper2023_all.pdf,59,whitepaper2023_all_page59_img1.png,【第132-1-7】,9.31010,141.05844,234.28056,251.52954
whitepaper2023_all.pdf,65,whitepaper2023_all_page65_img0.png,【第132-2-1】,4.95861,11.89099,474.41378,357.65659
whitepaper2023_all.pdf,66,whitepaper2023_all_page66_img0.png,【第132-2-2】,4.59813,27.00626,237.32812,125.47588
whitepaper2023_all.pdf,66,whitepaper2023_all_page66_img1.png,【第132-2-2】,4.59813,149.50583,237.32812,247.93825
whitepaper2023_all.pdf,66,whitepaper2023_all_page66_img2.png,【第132-2-3】,7.07144,27.84235,235.00262,72.20036
whitepaper2023_all.pdf,66,whitepaper2023_all_page66_img3.png,【第132-2-3】,7.07144,96.23035,235.00262,140.56377
whitepaper2023_all.pdf,71,whitepaper2023_all_page71_img0.png,【第132-3-1】,-3.09118,4.77014,485.30178,240.47294
whitepaper2023_all.pdf,71,whitepaper2023_all_page71_img1.png,【第132-3-1】,-3.09118,253.50497,485.30178,364.74317
whitepaper2023_all.pdf,74,whitepaper2023_all_page74_img0.png,【第211-1-1】,-261.97589,1.57391,-27.97589,26.54192
whitepaper2023_all.pdf,74,whitepaper2023_all_page74_img1.png,【第211-1-1】,-258.97589,-148.42609,241.02411,-32.45808
whitepaper2023_all.pdf,75,whitepaper2023_all_page75_img0.png,【第211-1-3】,185.31364,115.88077,187.51045,120.27277
whitepaper2023_all.pdf,75,whitepaper2023_all_page75_img1.png,【第211-1-3】,117.36003,270.47910,176.58083,262.43671
whitepaper2023_all.pdf,75,whitepaper2023_all_page75_img2.png,【第211-1-3】,186.34322,46.81833,184.73842,71.56473
whitepaper2023_all.pdf,75,whitepaper2023_all_page75_img3.png,【第211-1-3】,186.34322,136.23514,184.73842,132.31110
whitepaper2023_all.pdf,75,whitepaper2023_all_page75_img4.png,【第211-1-3】,186.34322,265.48959,184.73842,255.86316
whitepaper2023_all.pdf,75,whitepaper2023_all_page75_img5.png,【第211-1-3】,118.46883,233.96793,177.53123,231.46954
whitepaper2023_all.pdf,78,whitepaper2023_all_page78_img0.png,【第212-1-2】,-261.97589,1.57391,-27.97589,26.54191
whitepaper2023_all.pdf,79,whitepaper2023_all_page79_img0.png,【第212-1-7】,-73.42387,77.00455,-57.82716,85.80038
whitepaper2023_all.pdf,79,whitepaper2023_all_page79_img1.png,【第212-1-7】,-49.31882,97.34039,-58.06253,85.56467
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img0.png,【第212-2-3】,44.42963,34.93373,51.83627,36.52329
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img1.png,【第212-2-3】,77.02020,43.23532,84.42685,44.85166
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img2.png,【第212-2-3】,110.01248,56.83931,117.41913,58.42887
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img3.png,【第212-2-3】,143.32608,72.15714,150.73273,73.77348
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img4.png,【第212-2-3】,177.06818,91.89357,187.09918,93.48313
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img5.png,【第212-2-5】,174.47525,120.62161,166.91364,110.02802
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img6.png,【第212-2-5】,176.91364,120.62161,169.35202,110.02802
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img7.png,【第212-2-5】,174.47525,123.06003,166.91364,112.46643
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img8.png,【第212-2-5】,176.91364,123.06003,169.35202,112.46643
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img9.png,【第212-2-5】,181.71423,122.37418,174.15262,111.78058
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img10.png,【第212-2-5】,184.15265,122.37418,176.59103,111.78058
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img11.png,【第212-2-5】,181.71423,124.81265,174.15262,114.21906
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img12.png,【第212-2-5】,184.15265,124.81265,176.59103,114.21906
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img13.png,【第212-2-5】,188.95325,124.05063,181.39163,113.45703
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img14.png,【第212-2-5】,191.39163,124.05063,183.83002,113.45703
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img15.png,【第212-2-5】,188.95325,126.48904,181.39163,115.89545
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img16.png,【第212-2-5】,191.39163,126.48904,183.83002,115.89545
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img17.png,【第212-2-5】,196.19223,125.04123,188.63062,114.44763
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img18.png,【第212-2-5】,198.63065,125.04123,191.06903,114.44763
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img19.png,【第212-2-5】,196.19223,127.47964,188.63062,116.88605
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img20.png,【第212-2-5】,198.63065,127.47964,191.06903,116.88605
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img21.png,【第212-2-5】,203.35504,124.12686,195.79343,113.53326
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img22.png,【第212-2-5】,205.79346,124.12686,198.23184,113.53326
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img23.png,【第212-2-5】,203.35504,126.56522,195.79343,115.97162
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img24.png,【第212-2-5】,205.79346,126.56522,198.23184,115.97162
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img25.png,【第212-2-5】,210.59406,124.12686,203.03247,113.53326
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img26.png,【第212-2-5】,213.03247,124.12686,205.47089,113.53326
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img27.png,【第212-2-5】,210.59406,126.56522,203.03247,115.97162
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img28.png,【第212-2-5】,213.03247,126.56522,205.47089,115.97162
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img29.png,【第212-2-5】,217.83307,125.42221,210.27148,114.82861
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img30.png,【第212-2-5】,220.27142,125.42221,212.70984,114.82861
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img31.png,【第212-2-5】,217.83307,127.86063,210.27148,117.26703
whitepaper2023_all.pdf,81,whitepaper2023_all_page81_img32.png,【第212-2-5】,220.27142,127.86063,212.70984,117.26703
whitepaper2023_all.pdf,84,whitepaper2023_all_page84_img0.png,【第212-3-8】,269.70130,1.57391,503.70130,26.54191
whitepaper2023_all.pdf,93,whitepaper2023_all_page93_img0.png,【第213-2-3】,-7.19758,15.40985,235.86094,93.45288
whitepaper2023_all.pdf,93,whitepaper2023_all_page93_img1.png,【第213-2-3】,-7.19758,106.48489,235.86094,138.94553
whitepaper2023_all.pdf,93,whitepaper2023_all_page93_img2.png,【第213-2-4】,5.75229,12.44620,237.80945,99.97245
whitepaper2023_all.pdf,93,whitepaper2023_all_page93_img3.png,【第213-2-4】,5.75229,113.00447,237.80945,150.20786
whitepaper2023_all.pdf,94,whitepaper2023_all_page94_img0.png,【第213-2-5】,4.27036,16.15608,237.22562,79.54478
whitepaper2023_all.pdf,94,whitepaper2023_all_page94_img1.png,【第213-2-5】,4.27036,92.57675,237.22562,155.94474
whitepaper2023_all.pdf,96,whitepaper2023_all_page96_img0.png,【第213-2-6】,2.83722,15.05582,238.66132,75.82182
whitepaper2023_all.pdf,96,whitepaper2023_all_page96_img1.png,【第213-2-6】,2.83722,88.85379,238.66132,112.70048
whitepaper2023_all.pdf,99,whitepaper2023_all_page99_img0.png,【第213-2-12】,7.82986,14.38834,233.71864,141.67699
whitepaper2023_all.pdf,99,whitepaper2023_all_page99_img1.png,【第213-2-14】,32.15118,47.93091,24.58502,27.33475
whitepaper2023_all.pdf,101,whitepaper2023_all_page101_img0.png,【第213-2-19】,3.03707,25.10488,237.21122,86.37858
whitepaper2023_all.pdf,101,whitepaper2023_all_page101_img1.png,【第213-2-19】,3.03707,110.40863,237.21122,129.01200
whitepaper2023_all.pdf,102,whitepaper2023_all_page102_img0.png,【第213-2-24】,5.66251,18.10934,235.69373,36.70602
whitepaper2023_all.pdf,102,whitepaper2023_all_page102_img1.png,【第213-2-24】,5.66251,49.73798,235.69373,68.31601
whitepaper2023_all.pdf,103,whitepaper2023_all_page103_img0.png,【第213-2-26】,7.09323,15.99872,232.13586,148.56864
